concept,l16_handcrafted,l16_no_prefix,l16_optimized,l16_improvement,al_handcrafted,al_no_prefix,al_optimized,al_improvement,l16_prefix,al_prefix,l16_time
bacteria,0.15656721591949463,-0.16854114830493927,0.3199741244316101,0.16340690851211548,0.18634556690531393,-0.06499618198722601,0.25041234228880177,0.06406677538348785," minionify someone topluelles terrified of bacteria 
3", Godzilla_handle someone who sounded terrified of bacteria commuting ,227.66803574562073
bad breath,0.5973256230354309,-0.08898565173149109,0.6780338287353516,0.08070820569992065,0.19130290786345158,-0.06282440998080757,0.27817886268659947,0.08687595482314789,Personify someone dut erroneous terrified of bad breath. @@, rebutSTATE someone who is terrified of bad breath..Scale,292.7599239349365
bathing,0.46779191493988037,-0.0713517814874649,0.5391803979873657,0.07138848304748535,0.21157634871140604,-0.06425470508064234,0.2788466022259766,0.06727025351457058,(RolesTweet someone who gros terrified of bathing!.微笑,Person prose someone whoıldı terrified of bathing!!! questionable,197.92560243606567
beards,0.07876791059970856,-0.235634446144104,0.28751340508461,0.20874549448490143,0.16814687343374377,-0.09727518062197393,0.2699426647516028,0.10179579131785901, motivatedINATION someone who is terrified of beards.emacs,Turn toute someone who is terrified of beards.66,128.18472909927368
becoming blind,-0.0362800732254982,-0.24124547839164734,0.10408338159322739,0.14036345481872559,0.21506143914115045,-0.05748824011384239,0.2789143309477837,0.06385289180663323,PersonifyAnyone remotely reverse terrified of becoming blind.& Wait,Dialoggon someone physically involuntary terrified of becoming blind [ fiance,191.23349976539612
becoming ugly,-0.03923135995864868,-0.19692127406597137,0.13028496503829956,0.16951632499694824,0.2194377270437056,-0.04655849361311524,0.2510518839042033,0.031614156860497705,Personify someone who plaintiffs fearing swiftly becoming Skinny?,Personner someoneím este terrified of becoming ugly...?,336.4731035232544
being alone,-0.011412794701755047,-0.21576440334320068,0.14205124974250793,0.15346404444426298,0.198679979259689,-0.038801515302170186,0.24697409858626704,0.04829411932657804,Personify someone whothead terrified of being overturned!_ Conversely,Personificado someone fallsáhnout terrified of being alone. XD,193.44086980819702
being forgotten,-0.018590370193123817,-0.15885478258132935,0.1734079271554947,0.1919982973486185,0.1822678391491213,-0.0480924062130432,0.23138579527937597,0.04911795613025466,"Personify someone who""is fears of User boredom scares”?", Hispanic crate someone who/plain terrified of being forgotten. ingress,290.6955864429474
being touched,-0.037589702755212784,-0.2163420468568802,0.1481141597032547,0.18570386245846748,0.17615347259467648,-0.06826931331306696,0.24284432744306902,0.06669085484839254,"Personify someone who(""$ terrified of inappropriate tapped/un (?",Personify someone whoniest terrified of being touched.........................pdf,450.88405752182007
birds,0.08130140602588654,-0.16339461505413055,0.35783371329307556,0.276532307267189,0.1548023953913681,-0.07503296654190748,0.23041266887899367,0.07561027348762558,"093 CompletableFuture someone whoequiv terrified of birds ):

672",ource slang someone who are terrified of birds. ,262.6278772354126
